Reference,Quantity,Value,Description,Manufacturer,Manufacturer PN,Status,Digi-Key PN,Packaging,Stock,Minimum Order Quantity,Standard Pricing
"C2-C3, C5-C10",8,0.1uF,CAP CER 0.1UF 10V X7R 0603,KEMET,C0603C104K8RACTU,OK,399-1095-1-ND,Cut Tape (CT),838124,1,"CAD 0.17 (1-9), 0.118 (10-49), 0.0672 (50-99), 0.0556 (100-499), 0.03898 (500-999), 0.03227 (1000+)"
C4,1,1uF,CAP CER 1UF 10V X7R 0603,Samsung Electro-Mechanics,CL10B105KP8NNNC,OK,1276-1946-1-ND,Cut Tape (CT),3577751,1,"CAD 0.14 (1-9), 0.059 (10-49), 0.032 (50-99), 0.0263 (100-499), 0.01876 (500-999), 0.01473 (1000+)"
J3,1,"LCD 0.96"" 128x64","LCD 0.96"" 128x64 8-bit parallel",,,No Distributor PN,,,,,
J4-J5,2,DF40C-24DP-0.4V,CONN PLUG 24POS SMD GOLD,Hirose Electric Co Ltd,DF40C-24DP-0.4V(51),OK,H11620CT-ND,Cut Tape (CT),80192,1,"CAD 1.04 (1-9), 0.917 (10-24), 0.8632 (25-49), 0.8272 (50-99), 0.7912 (100-249), 0.71924 (250-499), 0.64732 (500-999), 0.5754 (1000-2499), 0.52146 (2500+)"
R1,1,10k,RES SMD 10K OHM 1% 1/10W 0603,Yageo,RC0603FR-0710KL,OK,311-10.0KHRCT-ND,Cut Tape (CT),22844422,1,"CAD 0.15 (1-9), 0.034 (10-99), 0.0137 (100-999), 0.00614 (1000-2499), 0.00533 (2500+)"
R2,1,1M33,RES SMD 1.33M OHM 1% 1/10W 0603,Vishay Dale,CRCW06031M33FKEA,OK,541-1.33MHCT-ND,Cut Tape (CT),19876,1,"CAD 0.15 (1-9), 0.05 (10-99), 0.0205 (100-999), 0.00919 (1000-2499), 0.00798 (2500+)"
R3,1,1Meg,RES SMD 1M OHM 1% 1/10W 0603,Yageo,RC0603FR-071ML,OK,311-1.00MHRCT-ND,Cut Tape (CT),6165779,1,"CAD 0.15 (1-9), 0.034 (10-99), 0.0137 (100-999), 0.00614 (1000-2499), 0.00533 (2500+)"
U1-U2,2,SN74AC245PWR,IC TXRX NON-INVERT 6V 20TSSOP,Texas Instruments,SN74AC245PWR,OK,296-4316-1-ND,Cut Tape (CT),23572,1,"CAD 1.3 (1-9), 1.156 (10-24), 1.0972 (25-99), 0.9013 (100-249), 0.84256 (250-499), 0.74458 (500-999), 0.58782 (1000+)"
U3,1,TC107X,IC REG LIN POS ADJ 100MA SOT23-5,Microchip Technology,TC1071VCT713,OK,TC1071VCT713CT-ND,Cut Tape (CT),13494,1,"CAD 0.56 (1-24), 0.4712 (25-99), 0.4124 (100+)"
U4,1,CY7C1021DV33-10ZSXIT,IC SRAM 1MBIT PARALLEL 44TSOP II,Cypress Semiconductor Corp,CY7C1021DV33-10ZSXIT,OK,428-3575-1-ND,Cut Tape (CT),2508,1,"CAD 3.87 (1-9), 3.486 (10-24), 3.4324 (25-49), 3.4234 (50-99), 3.0589 (100-249), 2.95828 (250-499), 2.94754 (500+)"
U5-U6,2,74AHC1G14,IC INVERT SCHMITT 1CH 1IN SOT353,Diodes Incorporated,74AHC1G14SE-7,OK,74AHC1G14SE-7DICT-ND,Cut Tape (CT),480484,1,"CAD 0.41 (1-9), 0.336 (10-24), 0.2812 (25-99), 0.1779 (100-249), 0.1374 (250-499), 0.1171 (500-999), 0.07963 (1000+)"

